                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4388,                0.36667,                      1,                 1.3856,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                 1.4268,                0.66667,                      1,                 1.3684,             7.6985e-05,             7.6985e-05,             7.6985e-05
                      3,                 1.3078,                0.66667,                      1,                 1.3402,             0.00011657,             0.00011657,             0.00011657
                      4,                 1.2642,                0.76667,                      1,                 1.2973,             0.00015447,             0.00015447,             0.00015447
                      5,                 1.1203,                    0.8,                      1,                 1.2176,             0.00019066,             0.00019066,             0.00019066
                      6,                 1.0379,                0.83333,                      1,                 1.1706,             0.00022516,             0.00022516,             0.00022516
                      7,                0.97923,                0.86667,                      1,                 1.1159,             0.00025796,             0.00025796,             0.00025796
                      8,                0.80395,                0.96667,                      1,                 1.0537,             0.00028907,             0.00028907,             0.00028907
                      9,                0.81202,                0.96667,                      1,                0.99935,             0.00031848,             0.00031848,             0.00031848
                     10,                0.67386,                0.96667,                      1,                0.99935,             0.00034619,             0.00034619,             0.00034619
                     11,                 0.8287,                      1,                      1,                0.94901,             0.00037221,             0.00037221,             0.00037221
                     12,                0.60473,                      1,                      1,                0.90445,             0.00039653,             0.00039653,             0.00039653
                     13,                0.51725,                      1,                      1,                0.90445,             0.00041915,             0.00041915,             0.00041915
                     14,                   0.51,                      1,                      1,                0.86715,             0.00044008,             0.00044008,             0.00044008
                     15,                0.38509,                      1,                      1,                0.86715,             0.00045931,             0.00045931,             0.00045931
                     16,                0.40155,                      1,                      1,                0.84235,             0.00047684,             0.00047684,             0.00047684
                     17,                0.42291,                      1,                      1,                0.84235,              0.0004878,              0.0004878,              0.0004878
                     18,                0.34128,                      1,                      1,                0.82042,              0.0004878,              0.0004878,              0.0004878
                     19,                0.30592,                      1,                      1,                0.82042,             0.00047367,             0.00047367,             0.00047367
                     20,                0.31611,                      1,                      1,                0.80356,             0.00045953,             0.00045953,             0.00045953
                     21,                0.30179,                      1,                      1,                0.80356,             0.00044539,             0.00044539,             0.00044539
                     22,                 0.2568,                      1,                      1,                0.78928,             0.00043126,             0.00043126,             0.00043126
                     23,                0.19545,                      1,                      1,                0.78928,             0.00041712,             0.00041712,             0.00041712
                     24,                0.36422,                      1,                      1,                0.78928,             0.00040298,             0.00040298,             0.00040298
                     25,                0.22131,                      1,                      1,                   0.78,             0.00038884,             0.00038884,             0.00038884
                     26,                0.21012,                      1,                      1,                   0.78,             0.00037471,             0.00037471,             0.00037471
                     27,                0.29648,                      1,                      1,                0.77284,             0.00036057,             0.00036057,             0.00036057
                     28,                 0.2429,                      1,                      1,                0.77284,             0.00034643,             0.00034643,             0.00034643
                     29,                0.23003,                      1,                      1,                 0.7693,              0.0003323,              0.0003323,              0.0003323
                     30,                0.14194,                      1,                      1,                 0.7693,             0.00031816,             0.00031816,             0.00031816
                     31,                 0.2329,                      1,                      1,                0.76467,             0.00030402,             0.00030402,             0.00030402
                     32,                0.16332,                      1,                      1,                0.76467,             0.00028988,             0.00028988,             0.00028988
                     33,                0.21015,                      1,                      1,                0.76067,             0.00027575,             0.00027575,             0.00027575
                     34,                0.21817,                      1,                      1,                0.76067,             0.00026161,             0.00026161,             0.00026161
                     35,                0.18933,                      1,                      1,                0.75827,             0.00024747,             0.00024747,             0.00024747
                     36,                0.14786,                      1,                      1,                0.75827,             0.00023334,             0.00023334,             0.00023334
                     37,                0.23826,                      1,                      1,                0.75827,              0.0002192,              0.0002192,              0.0002192
                     38,                0.09508,                      1,                      1,                0.75734,             0.00020506,             0.00020506,             0.00020506
                     39,                 0.1822,                      1,                      1,                0.75734,             0.00019092,             0.00019092,             0.00019092
                     40,                0.13043,                      1,                      1,                 0.7561,             0.00017679,             0.00017679,             0.00017679
                     41,                0.17439,                      1,                      1,                 0.7561,             0.00016265,             0.00016265,             0.00016265
                     42,                0.13078,                      1,                      1,                0.75547,             0.00014851,             0.00014851,             0.00014851
                     43,                 0.0887,                      1,                      1,                0.75547,             0.00013437,             0.00013437,             0.00013437
                     44,                 0.1163,                      1,                      1,                0.75534,             0.00012024,             0.00012024,             0.00012024
                     45,                0.15926,                      1,                      1,                0.75534,              0.0001061,              0.0001061,              0.0001061
                     46,                0.13028,                      1,                      1,                0.75392,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.17027,                      1,                      1,                0.75392,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.10089,                      1,                      1,                0.75491,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.11787,                      1,                      1,                0.75491,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.18048,                      1,                      1,                0.75491,             3.5414e-05,             3.5414e-05,             3.5414e-05
